,church name,city,denomination,latitude,longitude,state,street address,zip code
0,BANNER FAITH MINISTRY,CHICAGO,NON CLASSIFIED AFFILIATION,41.744230000414234,-87.6636700000704,IL,8220 S ASHLAND AVE,60620
1,TRINITY EPISCOPAL CHURCH,CHICAGO,EPISCOPAL CHURCH,41.845569999955615,-87.6232100003412,IL,125 E 26TH ST,60616
2,SHRINE OF OUR LADY OF POMPEII,CHICAGO,ROMAN CATHOLIC CHURCH,41.87233999969129,-87.65792000020781,IL,1224 W LEXINGTON ST,60607
3,BLESSED ALOJZIJE CARDINAL,CHICAGO,ROMAN CATHOLIC CHURCH,41.99652999985966,-87.67766000040865,IL,6346 N RIDGE AVE,60660
4,GOOD NEWS COMMUNITY UCC,CHICAGO,UNITED CHURCH OF CHRIST,42.02078000029684,-87.67274000015084,IL,7649 N PAULINA ST,60626
5,ST MARK EPISCOPAL CHURCH,EVANSTON,EPISCOPAL CHURCH,42.045370000225375,-87.6881500003222,IL,1509 RIDGE AVE,60201
6,OUR LADY OF THE RIDGE PARISH,CHICAGO RIDGE,ROMAN CATHOLIC CHURCH,41.69565999990914,-87.77881000018135,IL,10811 RIDGELAND AVE,60415
7,FAITH LUTHERAN CHURCH,OAK LAWN,LUTHERAN CHURCH - MISSOURI SYNOD,41.71571999957837,-87.77472000042764,IL,9701 MELVINA AVE,60453
8,TRANSFORMATION BIBLE CHURCH,CHICAGO,INDEPENDENT BIBLE CHURCHES,41.895930000269345,-87.7731000003647,IL,5916 W RICE ST,60651
9,UNIVERSAL CHURCH,CHICAGO,UNITARIAN UNIVERSALIST ASSOCIATION,41.9536500000475,-87.75393000036917,IL,5040 W IRVING PARK RD,60641
10,LIGHT-THE WORLD CHR-GOD IN,CHICAGO,"CHURCH OF GOD (CLEVELAND, TN)",41.73344000015595,-87.66321000044115,IL,8828 S ASHLAND AVE,60620
11,JEANETTE'S HOUSE OF PRAYER INC,CHICAGO,NON CLASSIFIED AFFILIATION,41.76890999999654,-87.56702999963471,IL,6930 S SOUTH SHORE DR # 519,60649
