,church name,city,denomination,latitude,longitude,state,street address,zip code
0,GALENA ROAD BAPTIST CHURCH,PEORIA HEIGHTS,SOUTHERN BAPTIST CONVENTION,40.7578500000775,-89.56530999995647,IL,5831 N GALENA RD,61616
1,FIRST BAPTIST CHURCH,PEORIA,AMERICAN BAPTIST CHURCHES/USA,40.740480000351795,-89.59898999998848,IL,411 W LAKE AVE,61614
2,NORTHWEST BAPTIST CHURCH,PEORIA,BAPTIST BIBLE FELLOWSHIP,40.7544899998137,-89.64194000033069,IL,5430 N BIG HOLLOWRD,61615
3,TABERNACLE BAPTIST,PEORIA,BAPTIST - OTHER,40.68798999983869,-89.61356000009391,IL,117 S STEUBENVILLE ST,61605
4,PEORIA HOUSE OF PRAYER,PEORIA,NON-DENOMINATIONAL CHURCHES,40.68642999984468,-89.59383000035422,IL,100 WALNUT ST,61602
5,FIRST CHURCH OF GOD,EAST PEORIA,"CHURCH OF GOD (ANDERSON, IN)",40.63837000037529,-89.56994999989257,IL,2020 COLE ST,61611
6,UNIVERSALIST UNITARIAN CHURCH,PEORIA,UNITARIAN UNIVERSALIST ASSOCIATION,40.72768999959385,-89.64051999959827,IL,3000 W RICHWOODS BLVD,61604
7,OUR SAVIORS CHAPEL,PEORIA,NON CLASSIFIED AFFILIATION,40.74030999970677,-89.59166999967073,IL,200 E OAK CLIFF CT,61614
8,SOUTH SIDE CHR OF THE NAZARENE,PEORIA,CHURCH OF THE NAZARENE,40.66984000011598,-89.64200000039966,IL,1618 S LARAMIE ST,61605
9,WOODLAND BAPTIST CHURCH,PEORIA,SOUTHERN BAPTIST CONVENTION,40.7725099998367,-89.63291999985807,IL,6915 N ALLEN RD,61614
10,BARTONVILLE COMMUNITY BIBLE,BARTONVILLE,INTERNATIONAL COUNCIL COMMUNITY CHURCHES,40.642930000219394,-89.67172999993949,IL,3826 CHALMERS AVE,61607
11,OAK GROVE EVANGELICAL BIBLE,EAST PEORIA,EVANGELICAL - OTHER,40.62210000011498,-89.54478999975862,IL,3221 SPRINGFIELD RD,61611
12,GLAD TIDINGS ASSEMBLY OF GOD,EAST PEORIA,ASSEMBLIES OF GOD,40.674930000119446,-89.54322000020284,IL,2201 E WASHINGTON ST,61611
13,RIVERSIDE COMMUNITY CHURCH,PEORIA,ASSEMBLIES OF GOD,40.696279999922126,-89.59104999985755,IL,207 NE MONROE ST,61602
14,SAINT BERNARDS CATHOLIC CHURCH,PEORIA,ROMAN CATHOLIC CHURCH,40.711580000416745,-89.58805999956928,IL,509 E KANSAS ST,61603
15,UNIVERSITY UNITED MTHDST CHR,PEORIA,UNITED METHODIST CHURCH,40.722099999915145,-89.61220000032972,IL,2818 N UNIVERSITY ST,61604
16,GREATER WISDOM PENTECOSTAL CHR,PEORIA,PENTECOSTAL - OTHER,40.683420000432704,-89.61861999961326,IL,433 S WARREN ST,61605
17,GLEN OAK CHRISTIAN CHURCH,PEORIA,CHRISTIAN CHURCH (DISCIPLES OF CHRIST),40.713680000131944,-89.57906999958078,IL,1115 E REPUBLIC ST,61603
18,RICHLAND SOUTHERN BAPTIST CHRH,EAST PEORIA,SOUTHERN BAPTIST CONVENTION,40.639280000072006,-89.55970999981662,IL,2022 SPRINGFIELD RD,61611
19,GRACE BAPTIST CHURCH,PEORIA,BAPTIST - OTHER,40.69264000023588,-89.60428999978365,IL,405 N RICHARD PRYOR PL,61605
20,BETHEL UNITED METHODIST CHURCH,PEORIA,UNITED METHODIST CHURCH,40.69085000042725,-89.60317999985705,IL,210 N SHERIDAN RD,61605
21,BELLEVIEW COMMUNITY CHURCH,BELLEVUE,EVANGELICAL - OTHER,40.70816000008398,-89.63683000030426,IL,RR 1,61604
22,GOOD TESTIMONY,PEORIA,SOUTHERN BAPTIST CONVENTION,40.67244000040574,-89.63195999965421,IL,1417 S STANLEY ST,61605
23,NEW BEGINNING MINISTRIES,PEORIA,NON CLASSIFIED AFFILIATION,40.718159999884165,-89.56034999965271,IL,3201 NE MADISON AVE,61603
24,TRINITY LUTHERAN CHURCH,PEORIA,LUTHERAN CHURCH - MISSOURI SYNOD,40.700640000435726,-89.59843000024426,IL,135 NE RANDOLPH AVE,61606
25,FORREST HILL UNITED MTHDST CHR,PEORIA,UNITED METHODIST CHURCH,40.72439999986017,-89.58581000013135,IL,706 E FORREST HILL AVE,61603
26,ROCK CHURCH,EAST PEORIA,NON-DENOMINATIONAL CHURCHES,40.74344999971777,-89.5141899996687,IL,1081 UPPER SPRING BAY RD,61611
27,FFC LTC,PEORIA,PRESBYTERIAN/REFORMED - OTHER,40.73155000043221,-89.60444000040565,IL,3625 N SHERIDAN RD,61604
28,CITY ON A HILL CHR OF CHRIST,PEORIA,NON-DENOMINATIONAL CHURCHES,40.67446999959088,-89.6511000000649,IL,3624 W MALONE ST,61605
29,SAINT MARKS CATHOLIC CHURCH,PEORIA,ROMAN CATHOLIC CHURCH,40.69677999959737,-89.61142999989454,IL,1113 W BRADLEY AVE,61606
30,PEORIA LORDS TABLE CHR OF GOD,BARTONVILLE,"CHURCH OF GOD (CLEVELAND, TN)",40.63554000027085,-89.6555700002553,IL,4000 S BECKER DR,61607
31,CHURCH OF JESUS CHRIST OF LDS,PEORIA,CHURCH OF JESUS CHRIST-LATTER DAY SAINTS,40.73221000029133,-89.65204000024579,IL,3700 W RESERVOIR BLVD,61615
32,PEORIA SEVENTH-DAY ADVENTIST,PEORIA,SEVENTH DAY ADVENTISTS,40.73658999992858,-89.59361999966319,IL,4019 N KNOXVILLE AVE,61614
33,CREVE COEUR CHRISTIAN CHURCH,CREVE COEUR,CHRISTIAN - OTHER,40.64621000039125,-89.60174000000097,IL,101 S THORNCREST AVE,61610
34,PENTECOSTAL CHURCH OF JESUS,PEORIA,PENTECOSTAL - OTHER,40.68642999984468,-89.60139999961024,IL,401 ELM ST,61605
35,ST THOMAS THE APOSTLE,PEORIA,ROMAN CATHOLIC CHURCH,40.7391500001724,-89.5801400003607,IL,904 E LAKE AVE,61616
36,FIRST CHURCH OF NAZARENE,PEORIA,CHURCH OF THE NAZARENE,40.7546400004357,-89.61120000007992,IL,5504 N UNIVERSITY ST,61614
37,FAITH TABERNACLE,PEORIA,EVANGELICAL - OTHER,40.72883999956639,-89.62608000009192,IL,3331 N FINNELL AVE,61604
38,DAYSPRING UNITED METHODIST CHURCH,EAST PEORIA,UNITED METHODIST CHURCH,40.669399999610334,-89.52914000021082,IL,201 N NORWOOD PL,61611
39,CHURCH OF THE BRETHREN-PEORIA,PEORIA,CHURCH OF THE BRETHREN,40.74465999975922,-89.6019699998156,IL,4714 N SHERIDAN RD,61614
40,DAYSPRING NATIVE AMER UNITED,EAST PEORIA,UNITED METHODIST CHURCH,40.669399999610334,-89.52914000021082,IL,201 N NORWOOD PL,61611
41,BETHEL UNITED METHODIST CHURCH,PEORIA,UNITED METHODIST CHURCH,40.69085000042725,-89.60317999985705,IL,210 N RICHARD PRYOR PL,61605
42,UNITY HOUSE OF PRAYER,PEORIA,UNITED HOUSE OF PRAYER,40.70118000015691,-89.58523000036416,IL,815 NE PERRY AVE,61603
43,IGNITE CHURCH,PEORIA,ASSEMBLIES OF GOD,40.691989999938585,-89.59426000039866,IL,201 SW JEFFERSON AVE,61602
44,GREATER PEKIN FIRST UNITED PENTECOSTAL,NORTH PEKIN,UNITED PENTECOSTAL CHURCH,40.615329999979565,-89.61766999987054,IL,215 STATE ST,61554
45,EAST PEORIA CHR-THE NAZARENE,EAST PEORIA,CHURCH OF THE NAZARENE,40.66536999992559,-89.53813999976114,IL,1325 MEADOW AVE,61611
46,CHURCH OF SCIENTOLOGY MISSION,PEORIA,CHURCH OF SCIENTOLOGY,40.72829000028332,-89.57397000001544,IL,3402 N PROSPECT RD,61603
47,NEW TESTAMENT FELLOWSHIP,PEORIA,NON-DENOMINATIONAL CHURCHES,40.708309999806715,-89.60395000029223,IL,1701 N SHERIDAN RD,61604
48,MORNING GLORY CHURCH,PEORIA,NON CLASSIFIED AFFILIATION,40.723129999749744,-89.60826999986057,IL,2906 N TWELVE OAKS DR,61604
49,HOLY FAMILY CHURCH,PEORIA,ROMAN CATHOLIC CHURCH,40.73307000038028,-89.63160000013988,IL,3720 N STERLING AVE,61615
50,ST MONICA'S CHURCH HALL,EAST PEORIA,ROMAN CATHOLIC CHURCH,40.68821999965331,-89.53006000036868,IL,303 CAMPANILE DR,61611
51,MIRACLE REVIVAL CHURCH OF GOD,PEORIA,"CHURCH OF GOD (CLEVELAND, TN)",40.6966899999436,-89.58236999977561,IL,701 NE ADAMS ST,61603
52,GLENDALE CHURCH,EAST PEORIA,NON-DENOMINATIONAL CHURCHES,40.65015000042223,-89.53563000002447,IL,480 MATHENY RD,61611
53,BETHEL MEMORIAL UNITED CHURCH OF CHRIST,CREVE COEUR,UNITED CHURCH OF CHRIST,40.64513999961133,-89.60186000013886,IL,201 S MAIN ST,61610
54,LIVING HOPE EVANGELICAL LUTH,PEORIA,EVANGELICAL LUTHERAN CHURCH IN AMERICA,40.761039999696266,-89.62565999960924,IL,2110 W NORTHMOOR RD,61614
55,FIRST ASSEMBLY OF GOD,PEORIA,ASSEMBLIES OF GOD,40.73835000015242,-89.62006999993054,IL,4020 N BRANDYWINE DR,61614
56,ST ANNS CATHOLIC CHURCH,PEORIA,ROMAN CATHOLIC CHURCH,40.6813900003483,-89.62421000019134,IL,1009 S LOUISA ST,61605
57,FIRST BAPTIST CHURCH,CREVE COEUR,INDEPENDENT BAPTIST CHURCHES,40.64876999973575,-89.58960000043965,IL,425 RUSCHE ST,61610
58,ISLAMIC CENTER OF PEORIA,PEORIA, ,40.70875999987413,-89.59812999989953,IL,1716 N NORTH ST,61604
59,JOY FELLOWSHIP MENNONITE CHR,PEORIA,MENNONITE CHURCH USA,40.66300000034977,-89.6397900001084,IL,2918 W MONTANA ST,61605
60,FIRST FEDERATED PRESBYTERIAN,PEORIA,UNITED CHURCH OF CHRIST,40.73086999965079,-89.6043600003137,IL,3601 N SHERIDAN RD,61604
61,PEORIA FRIENDSHIP MSSNRY BAPT,PEORIA,NATIONAL BAPTIST CONVENTION-USA,40.7343700000755,-89.5847699998356,IL,3828 N NEW YORK AVE,61614
