,address1,address2,address3,alias,categories,city,coordinates,country,display_address,display_phone,distance,id,image_url,is_closed,latitude,location,longitude,name,phone,rating,review_count,state,transactions,url,zip_code
0,1280 S Alpine Rd,,,heartland-community-church-rockford,"[{'alias': 'churches', 'title': 'Churches'}]",Rockford,"{'latitude': 42.254459, 'longitude': -89.0288651}",US,"['1280 S Alpine Rd', 'Rockford, IL 61108']",(815) 395-8000,1954.9020478117272,d3vCUDV6uu5XTEqvxXR8sw,https://s3-media1.fl.yelpcdn.com/bphoto/yEe-Z6-FKH_3Ypyy3CLLrQ/o.jpg,False,42.254459,"{'address1': '1280 S Alpine Rd', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61108', 'country': 'US', 'state': 'IL', 'display_address': ['1280 S Alpine Rd', 'Rockford, IL 61108']}",-89.0288651,Heartland Community Church,+18153958000,4.5,3,IL,[],https://www.yelp.com/biz/heartland-community-church-rockford?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61108
1,5950 Spring Creek Rd,,,city-first-church-rockford-5,"[{'alias': 'churches', 'title': 'Churches'}]",Rockford,"{'latitude': 42.29788, 'longitude': -89.000372}",US,"['5950 Spring Creek Rd', 'Rockford, IL 61114']",(815) 877-8000,4651.119816695239,lzXBjcgV19bJuZnx16NXjA,https://s3-media3.fl.yelpcdn.com/bphoto/kM7dxpg3T03FdGXTnk3tnw/o.jpg,False,42.29788,"{'address1': '5950 Spring Creek Rd', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61114', 'country': 'US', 'state': 'IL', 'display_address': ['5950 Spring Creek Rd', 'Rockford, IL 61114']}",-89.000372,City First Church,+18158778000,4.0,6,IL,[],https://www.yelp.com/biz/city-first-church-rockford-5?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61114
2,3215 E State St,,,temple-baptist-church-rockford,"[{'alias': 'churches', 'title': 'Churches'}]",Rockford,"{'latitude': 42.26596, 'longitude': -89.0461}",US,"['3215 E State St', 'Rockford, IL 61108']",(815) 399-2665,517.5594079217096,-rSvBXz4I4Sj2Qhdvosg9Q,,False,42.26596,"{'address1': '3215 E State St', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61108', 'country': 'US', 'state': 'IL', 'display_address': ['3215 E State St', 'Rockford, IL 61108']}",-89.0461,Temple Baptist Church,+18153992665,3.5,3,IL,[],https://www.yelp.com/biz/temple-baptist-church-rockford?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61108
3,6310 Guilford Rd,,,grace-reformed-baptist-church-rockford,"[{'alias': 'churches', 'title': 'Churches'}]",Rockford,"{'latitude': 42.2838096618652, 'longitude': -88.9937744140625}",US,"['6310 Guilford Rd', 'Rockford, IL 61107']",(815) 633-2997,4247.894478965341,gjxnI0wpMjgwLeGXlLHHTg,https://s3-media4.fl.yelpcdn.com/bphoto/jCioQAAfOGiJvqQ9ghwnjw/o.jpg,False,42.2838096618652,"{'address1': '6310 Guilford Rd', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61107', 'country': 'US', 'state': 'IL', 'display_address': ['6310 Guilford Rd', 'Rockford, IL 61107']}",-88.9937744140625,Grace Reformed Baptist Church,+18156332997,5.0,1,IL,[],https://www.yelp.com/biz/grace-reformed-baptist-church-rockford?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61107
4,920 3rd Ave,,,emmanuel-lutheran-church-rockford,"[{'alias': 'churches', 'title': 'Churches'}]",Rockford,"{'latitude': 42.2640228271484, 'longitude': -89.0827102661133}",US,"['920 3rd Ave', 'Rockford, IL 61104']",(815) 963-4815,3447.3826543633486,3kqgRJcqHJyBsWPWeqMNuw,https://s3-media1.fl.yelpcdn.com/bphoto/qj83-VW4yTDAxRyUF3qVsg/o.jpg,False,42.2640228271484,"{'address1': '920 3rd Ave', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61104', 'country': 'US', 'state': 'IL', 'display_address': ['920 3rd Ave', 'Rockford, IL 61104']}",-89.0827102661133,Emmanuel Lutheran Church,+18159634815,5.0,1,IL,[],https://www.yelp.com/biz/emmanuel-lutheran-church-rockford?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61104
5,517 Elm St,,,st-mary-oratory-rockford,"[{'alias': 'churches', 'title': 'Churches'}]",Rockford,"{'latitude': 42.27212, 'longitude': -89.09841}",US,"['517 Elm St', 'Rockford, IL 61102']",(815) 965-0866,4709.904827765576,2vKZuybVqa-wnxxptwHKdg,https://s3-media4.fl.yelpcdn.com/bphoto/TXF_kSAzCqQFcRHD7lgYFg/o.jpg,False,42.27212,"{'address1': '517 Elm St', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61102', 'country': 'US', 'state': 'IL', 'display_address': ['517 Elm St', 'Rockford, IL 61102']}",-89.09841,St Mary Oratory,+18159650866,5.0,1,IL,[],https://www.yelp.com/biz/st-mary-oratory-rockford?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61102
6,2821 N Bell School Rd,,,westminster-presbyterian-church-rockford,"[{'alias': 'religiousorgs', 'title': 'Religious Organizations'}]",Rockford,"{'latitude': 42.3025665283203, 'longitude': -88.9676055908203}",US,"['2821 N Bell School Rd', 'Rockford, IL 61107']",(815) 282-1500,7102.97654448008,MRs_QSGCZ3UWPuMjz3PXeQ,,False,42.3025665283203,"{'address1': '2821 N Bell School Rd', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61107', 'country': 'US', 'state': 'IL', 'display_address': ['2821 N Bell School Rd', 'Rockford, IL 61107']}",-88.9676055908203,Westminster Presbyterian Church,+18152821500,4.0,1,IL,[],https://www.yelp.com/biz/westminster-presbyterian-church-rockford?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61107
7,412 N Church St,,,episcopal-church-emmanuel-rockford,"[{'alias': 'churches', 'title': 'Churches'}]",Rockford,"{'latitude': 42.2751731872559, 'longitude': -89.094123840332}",US,"['412 N Church St', 'Rockford, IL 61103']",(815) 964-5514,4384.930327439924,DfpZNxVbqdq_YJFWmimOsA,,False,42.2751731872559,"{'address1': '412 N Church St', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61103', 'country': 'US', 'state': 'IL', 'display_address': ['412 N Church St', 'Rockford, IL 61103']}",-89.094123840332,Episcopal Church Emmanuel,+18159645514,5.0,1,IL,[],https://www.yelp.com/biz/episcopal-church-emmanuel-rockford?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61103
8,6816 N 2nd St,,,riverside-community-church-machesney-park,"[{'alias': 'religiousorgs', 'title': 'Religious Organizations'}]",Machesney Park,"{'latitude': 42.3282012939453, 'longitude': -89.0583572387695}",US,"['6816 N 2nd St', 'Machesney Park, IL 61115']",(815) 877-4444,6713.566652893053,qDAzU2XXWugaMsjaB54qCg,,False,42.3282012939453,"{'address1': '6816 N 2nd St', 'address2': '', 'address3': '', 'city': 'Machesney Park', 'zip_code': '61115', 'country': 'US', 'state': 'IL', 'display_address': ['6816 N 2nd St', 'Machesney Park, IL 61115']}",-89.0583572387695,Riverside Community Church,+18158774444,2.0,3,IL,[],https://www.yelp.com/biz/riverside-community-church-machesney-park?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61115
9,530 8th St,,,living-faith-tabernacle-rockford,"[{'alias': 'churches', 'title': 'Churches'}]",Rockford,"{'latitude': 42.26177, 'longitude': -89.07861}",US,"['530 8th St', 'Rockford, IL 61104']",(815) 964-8747,3166.2027851696926,cHJYYeBW2fReQyRGor9-gA,,False,42.26177,"{'address1': '530 8th St', 'address2': '', 'address3': '', 'city': 'Rockford', 'zip_code': '61104', 'country': 'US', 'state': 'IL', 'display_address': ['530 8th St', 'Rockford, IL 61104']}",-89.07861,Living Faith Tabernacle,+18159648747,1.0,1,IL,[],https://www.yelp.com/biz/living-faith-tabernacle-rockford?adjust_creative=61S4cCdpsNdMzLZ-uGf0yg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=61S4cCdpsNdMzLZ-uGf0yg,61104
