id,PHONE,affiliation,city,name,state,street,zipcode
3560,(708) 748-3370,churches of christ,matteson,church of christ,il,4010 206th st,60443
3583,(708) 748-0327,christian,matteson,south suburban christian academy,il,4200 maple ave,60443
3589,(708) 503-1140,evangelical,matteson,angie ray ministries,il,4013 lindenwood dr,60443
3628,(708) 996-4425,baptist,matteson,new faith baptist church international,il,19 central ave,60443
3673,(708) 748-6090,,matteson,st lawrence otoole school,il,4101 saint lawrence ave,60443
3821,(773) 263-4886,,matteson,l harmon management corp,il,4342 206th st,60443
3837,(708) 248-5054,evangelical,matteson,oc jones ministries,il,621 homeland rd,60443
3840,(708) 283-0383,pentecostal,matteson,victory apostolic church,il,20801 matteson ave,60443
3850,(708) 748-8275,,matteson,kingdom hall-jehovah's wtnsss,il,4402 maple ave,60443
3851,(708) 833-8357,,matteson,god's harbor for all souls,il,4100 maple ave,60443
3859,(708) 720-0271,pentecostal,matteson,new harvest pentecostal,il,835 purdue ln,60443
3864,(708) 283-4311,,matteson,house of praise,il,4331 211th st,60443
3892,(708) 351-8473,,matteson,house of praise,il,5527 miller circle dr,60443
3901,(708) 747-1116,Lutheran,matteson,zion evangelical lutheran church,il,3840 216th st,60443
3902,(708) 757-7000,catholic,matteson,pentecostal church of christ cathedral,il,3840 216th st,60443
3916,(708) 679-0470,,matteson,abundant life deliverance church,il,21740 main st,60443
3980,(708) 821-5867,,matteson,faith on fire worship center,il,500 holiday plaza dr,60443
4012,(708) 720-0880,Lutheran,matteson,st paul lutheran church,il,6201 vollmer rd,60443
4016,(708) 503-1400,methodist,matteson,mayo african methodist church,il,20839 homeland rd,60443
4017,(708) 720-9000,,matteson,believers church,il,930 believers way,60443
4044,(708) 748-0885,,matteson,st john's faith church,il,21302 maple st,60443
4097,(708) 679-1876,christian,matteson,couriers for christ,il,21301 s kildare ave,60443
4115,(708) 481-8300,baptist,matteson,calvary memorial baptist church,il,4216 204th st,60443
4290,(847) 750-6976,,deerfield,north suburban church,il,200 lake cook rd,60015
4317,(847) 945-0560,presbyterian,deerfield,first presbyterian church,il,824 waukegan rd,60015
4318,(847) 945-1678,episcopalian,deerfield,st gregory's episcopal anglican church of deerfield,il,815 wilmot rd,60015
4406,(224) 804-6986,,deerfield,bjbe,il,1141 lake cook rd,60015
4408,(847) 948-5340,,deerfield,moriah congregation,il,200 taub dr,60015
4409,(847) 948-5342,,deerfield,moriah usy-kadima,il,200 taub dr,60015
4411,(847) 940-7575,jewish,deerfield,b'nai jehoshua congregation,il,1201 lake cook rd ste e,60015
4419,(847) 945-0176,christian congregational church,deerfield,congregational church,il,225 wilmot rd,60015
4424,(847) 374-0936,Lutheran,deerfield,lutheran general medical group sc,il,720 osterman ave,60015
4425,(847) 945-2009,Lutheran,deerfield,zion evangelical lutheran church,il,10 deerfield rd,60015
4426,(847) 940-1900,korean presbyterian,deerfield,north chicago onnuri church,il,10 deerfield rd,60015
4427,(847) 945-3040,methodist,deerfield,christ united methodist church,il,600 deerfield rd,60015
4430,(847) 945-0430,catholic,deerfield,holy cross catholic church,il,724 elder ln,60015
4434,(312) 925-3191,,deerfield,cpm integrated service,il,832 northwoods rd,60015
4435,(847) 945-5050,united church of christ,deerfield,trinity united church of christ,il,760 north ave,60015
4439,(847) 945-0470,jewish,deerfield,congregation b'nai tikvah,il,1558 wilmot rd,60015
4445,(847) 945-6760,christian,deerfield,north shore chinese christian church,il,1250 waukegan rd,60015
4448,(847) 236-4828,,deerfield,owen william,il,885 heather rd,60015
