,id,name,Address1,Address2,PHONE,street,city,zipcode,state,affili
3541,3560,church of christ,"4010 206th stmatteson, il 60443","4010+206th+stmatteson,+il+60443",(708) 748-3370,4010 206th st,matteson,60443,il,
3564,3583,south suburban christian academy,"4200 maple avematteson, il 60443","4200+maple+avematteson,+il+60443",(708) 748-0327,4200 maple ave,matteson,60443,il,
3570,3589,angie ray ministries,"4013 lindenwood drmatteson, il 60443","4013+lindenwood+drmatteson,+il+60443",(708) 503-1140,4013 lindenwood dr,matteson,60443,il,
3609,3628,new faith baptist church international,"19 central avematteson, il 60443","19+central+avematteson,+il+60443",(708) 996-4425,19 central ave,matteson,60443,il,
3654,3673,st lawrence otoole school,"4101 saint lawrence avematteson, il 60443","4101+saint+lawrence+avematteson,+il+60443",(708) 748-6090,4101 saint lawrence ave,matteson,60443,il,
3802,3821,l harmon management corp,"4342 206th stmatteson, il 60443","4342+206th+stmatteson,+il+60443",(773) 263-4886,4342 206th st,matteson,60443,il,
3818,3837,oc jones ministries,"621 homeland rdmatteson, il 60443","621+homeland+rdmatteson,+il+60443",(708) 248-5054,621 homeland rd,matteson,60443,il,
3821,3840,victory apostolic church,"20801 matteson avematteson, il 60443","20801+matteson+avematteson,+il+60443",(708) 283-0383,20801 matteson ave,matteson,60443,il,
3831,3850,kingdom hall-jehovah's wtnsss,"4402 maple avematteson, il 60443","4402+maple+avematteson,+il+60443",(708) 748-8275,4402 maple ave,matteson,60443,il,
3832,3851,god's harbor for all souls,"4100 maple avematteson, il 60443","4100+maple+avematteson,+il+60443",(708) 833-8357,4100 maple ave,matteson,60443,il,
3840,3859,new harvest pentecostal,"835 purdue lnmatteson, il 60443","835+purdue+lnmatteson,+il+60443",(708) 720-0271,835 purdue ln,matteson,60443,il,pentecostal
3845,3864,house of praise,"4331 211th stmatteson, il 60443","4331+211th+stmatteson,+il+60443",(708) 283-4311,4331 211th st,matteson,60443,il,
3873,3892,house of praise,"5527 miller circle drmatteson, il 60443","5527+miller+circle+drmatteson,+il+60443",(708) 351-8473,5527 miller circle dr,matteson,60443,il,
3882,3901,zion evangelical lutheran church,"3840 216th stmatteson, il 60443","3840+216th+stmatteson,+il+60443",(708) 747-1116,3840 216th st,matteson,60443,il,
3883,3902,pentecostal church of christ cathedral,"3840 216th stmatteson, il 60443","3840+216th+stmatteson,+il+60443",(708) 757-7000,3840 216th st,matteson,60443,il,
3897,3916,abundant life deliverance church,"21740 main stmatteson, il 60443","21740+main+stmatteson,+il+60443",(708) 679-0470,21740 main st,matteson,60443,il,
3961,3980,faith on fire worship center,"500 holiday plaza drmatteson, il 60443","500+holiday+plaza+drmatteson,+il+60443",(708) 821-5867,500 holiday plaza dr,matteson,60443,il,
3993,4012,st paul lutheran church,"6201 vollmer rdmatteson, il 60443","6201+vollmer+rdmatteson,+il+60443",(708) 720-0880,6201 vollmer rd,matteson,60443,il,
3997,4016,mayo african methodist church,"20839 homeland rdmatteson, il 60443","20839+homeland+rdmatteson,+il+60443",(708) 503-1400,20839 homeland rd,matteson,60443,il,
3998,4017,believers church,"930 believers waymatteson, il 60443","930+believers+waymatteson,+il+60443",(708) 720-9000,930 believers way,matteson,60443,il,
4025,4044,st john's faith church,"21302 maple stmatteson, il 60443","21302+maple+stmatteson,+il+60443",(708) 748-0885,21302 maple st,matteson,60443,il,
4078,4097,couriers for christ,"21301 s kildare avematteson, il 60443","21301+s+kildare+avematteson,+il+60443",(708) 679-1876,21301 s kildare ave,matteson,60443,il,
4096,4115,calvary memorial baptist church,"4216 204th stmatteson, il 60443","4216+204th+stmatteson,+il+60443",(708) 481-8300,4216 204th st,matteson,60443,il,
4194,4290,north suburban church,"200 lake cook rddeerfield, il 60015","200+lake+cook+rddeerfield,+il+60015",(847) 750-6976,200 lake cook rd,deerfield,60015,il,
