,NAME,Address1,Address2,PHONE,street address,city,zipcode
0,Jewish Federation Of Metro Chicago,"30 S Wells StChicago, IL 60606","30+S+Wells+StChicago,+IL+60606",(312) 767-6403,30 S Wells St,Chicago,60606
1,Catholic Church Extension Society,"150 S Wacker Dr Ste 2000Chicago, IL 60606","150+S+Wacker+Dr+Ste+2000Chicago,+IL+60606",(312) 236-2740,150 S Wacker Dr Ste 2000,Chicago,60606
2,Congregation-Sons,"205 W Monroe StChicago, IL 60606","205+W+Monroe+StChicago,+IL+60606",(312) 236-7782,205 W Monroe St,Chicago,60606
3,Episcopal Diocese Of Chicago,"205 W Monroe StChicago, IL 60606","205+W+Monroe+StChicago,+IL+60606",(312) 631-3926,205 W Monroe St,Chicago,60606
4,Jewish United Fund,"30 S Wells StChicago, IL 60606","30+S+Wells+StChicago,+IL+60606",(312) 346-6700,30 S Wells St,Chicago,60606
5,St. Peter's Catholic Books & Gifts,"110 W Madison StChicago, IL 60602","110+W+Madison+StChicago,+IL+60602",(312) 815-8431,110 W Madison St,Chicago,60602
6,Lake Shore Church,"733 W Madison StChicago, IL 60661","733+W+Madison+StChicago,+IL+60661",(312) 464-1834,733 W Madison St,Chicago,60661
7,Cantor Fitzgerald & Co Cme,"335 S La Salle StChicago, IL 60604","335+S+La+Salle+StChicago,+IL+60604",(312) 441-4796,335 S La Salle St,Chicago,60604
8,Chicago Baptist Institute,"120 W Adams StChicago, IL 60603","120+W+Adams+StChicago,+IL+60603",(773) 268-2250,120 W Adams St,Chicago,60603
9,Corpus Christi Catholic Church,"120 W Adams StChicago, IL 60603","120+W+Adams+StChicago,+IL+60603",(773) 285-7720,120 W Adams St,Chicago,60603
10,Daughters of The Moon Humanitarian Fellowship,"Po Box 1055Chicago, IL 60690","Po+Box+1055Chicago,+IL+60690",(773) 769-9225,Po Box 1055,Chicago,60690
11,Center for Jewish Life,"401 S La Salle St Ste 9779Chicago, IL 60605","401+S+La+Salle+St+Ste+9779Chicago,+IL+60605",(312) 427-7770,401 S La Salle St Ste 9779,Chicago,60605
12,Reconciling Ministries Network,"123 W Madison St Ste 2150Chicago, IL 60602","123+W+Madison+St+Ste+2150Chicago,+IL+60602",(773) 736-5526,123 W Madison St Ste 2150,Chicago,60602
13,Chicago Loop Synagogue,"16 S Clark StChicago, IL 60603","16+S+Clark+StChicago,+IL+60603",(312) 346-7370,16 S Clark St,Chicago,60603
14,Mauck & Baker,"1 N La Salle St Ste 600Chicago, IL 60602","1+N+La+Salle+St+Ste+600Chicago,+IL+60602",(312) 726-1243,1 N La Salle St Ste 600,Chicago,60602
15,St Peter's Church,"110 W Madison StChicago, IL 60602","110+W+Madison+StChicago,+IL+60602",(312) 372-5111,110 W Madison St,Chicago,60602
16,The International Fellowship of Christians and Jews,"30 N La Salle St Ste 4300Chicago, IL 60602","30+N+La+Salle+St+Ste+4300Chicago,+IL+60602",(312) 641-7200,30 N La Salle St Ste 4300,Chicago,60602
17,Holy Trinity Church,"53 W Jackson Blvd Ste 305Chicago, IL 60604","53+W+Jackson+Blvd+Ste+305Chicago,+IL+60604",(312) 447-0962,53 W Jackson Blvd Ste 305,Chicago,60604
18,Carlson Lois Rae Csb,"111 W Washington St Ste 747Chicago, IL 60602","111+W+Washington+St+Ste+747Chicago,+IL+60602",(312) 977-0188,111 W Washington St Ste 747,Chicago,60602
19,Clausen Management Svc Inc,"407 S Dearborn StChicago, IL 60605","407+S+Dearborn+StChicago,+IL+60605",(312) 660-5337,407 S Dearborn St,Chicago,60605
20,Chicago Temple,"77 W Washington St Ste 616Chicago, IL 60602","77+W+Washington+St+Ste+616Chicago,+IL+60602",(312) 236-4548,77 W Washington St Ste 616,Chicago,60602
21,General Commission,"77 W Washington St Ste 1009Chicago, IL 60602","77+W+Washington+St+Ste+1009Chicago,+IL+60602",(312) 346-4900,77 W Washington St Ste 1009,Chicago,60602
